Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Train AUROC.	Valid AUROC.	
0.040000	0.702815	0.694731	50.228073	49.089741	0.502579	0.491374	
0.068000	0.722696	0.699945	49.995644	50.064102	0.503576	0.489025	
0.096000	0.755267	0.762286	49.975304	50.000000	0.499768	0.512809	
0.124000	0.707175	0.706596	50.050846	50.000000	0.501836	0.512499	
0.152000	0.698478	0.694369	50.126385	50.474358	0.504198	0.519213	
0.180000	0.695550	0.693836	50.435806	49.692307	0.507086	0.503850	
0.208000	0.694917	0.698042	50.302158	50.000000	0.502208	0.509404	
0.236000	0.693888	0.694244	50.794621	50.307690	0.507964	0.510811	
0.264000	0.694284	0.692907	50.658070	51.205128	0.506547	0.520302	
0.292000	0.694130	0.700873	50.572361	50.000000	0.502357	0.512107	
0.320000	0.693843	0.693266	50.265842	50.269230	0.505043	0.499993	
0.040000	0.692892	0.693104	50.939888	50.384613	0.509392	0.504827	
0.039990	0.692888	0.693179	50.884686	50.051281	0.508666	0.503039	
0.039961	0.692763	0.693251	51.073536	50.307690	0.511107	0.508011	
0.039911	0.692857	0.692961	51.016880	50.628204	0.509656	0.507925	
0.039842	0.692723	0.693334	51.054649	50.217945	0.510730	0.510632	
0.039754	0.692844	0.692811	51.197014	50.846153	0.512830	0.513843	
0.039646	0.692920	0.693177	51.102589	50.153843	0.512521	0.511296	
0.039518	0.692675	0.692942	51.031406	50.230766	0.515433	0.511282	
0.039372	0.692897	0.693014	51.053200	50.346153	0.510266	0.510369	
0.039206	0.692696	0.693081	51.263840	50.410255	0.512059	0.515351	
0.039021	0.692641	0.693736	51.138908	50.269230	0.514968	0.513210	
0.038818	0.692487	0.693213	51.378601	50.512817	0.514699	0.514543	
0.038596	0.692524	0.693891	50.845463	50.217945	0.508738	0.513119	
0.038355	0.692543	0.692941	51.194111	50.653843	0.516566	0.510670	
0.038097	0.692595	0.692800	51.308872	50.705128	0.515157	0.517829	
0.037820	0.692347	0.692681	51.420727	50.282051	0.516282	0.511819	
0.037526	0.692561	0.693228	51.345188	50.487179	0.516302	0.507398	
0.037215	0.692412	0.692659	51.305965	50.602562	0.514746	0.510478	
0.036887	0.692425	0.693057	51.106949	50.474358	0.515817	0.514659	
0.036542	0.692754	0.692614	51.226067	50.653843	0.514661	0.512898	
0.036180	0.692335	0.693597	51.477383	50.448715	0.518313	0.515978	
0.035803	0.692685	0.692533	51.255123	50.333332	0.514829	0.516145	
0.035410	0.692354	0.693077	50.899212	50.282051	0.514642	0.519302	
0.035002	0.692551	0.692732	51.271103	50.653843	0.517570	0.514306	
0.034579	0.692428	0.692270	51.353905	51.307690	0.517719	0.519610	
0.034142	0.692376	0.692410	51.554375	50.910255	0.519683	0.520011	
0.033691	0.692389	0.692215	51.352451	51.423077	0.516366	0.518415	
0.033226	0.692536	0.692585	51.217354	51.000000	0.516314	0.518384	
0.032748	0.692354	0.693430	51.618294	50.641026	0.521028	0.514938	
0.032258	0.692416	0.692742	51.554375	50.730766	0.519219	0.519974	
0.031756	0.692363	0.692208	51.493362	51.128204	0.518445	0.521270	
0.031242	0.692270	0.692453	51.702549	51.205128	0.520010	0.521012	
0.030717	0.692112	0.692741	51.942242	50.948715	0.523788	0.519324	
0.030181	0.692169	0.693101	51.795521	50.782051	0.522893	0.520351	
0.029635	0.692305	0.693107	51.587788	50.769230	0.517981	0.521158	
0.029080	0.692130	0.692209	51.644444	51.089741	0.521613	0.521401	
0.028516	0.692495	0.692473	51.654610	51.025639	0.520056	0.521955	
0.027943	0.692187	0.692473	51.606670	51.089741	0.519724	0.522030	
0.027362	0.692034	0.692490	51.810047	51.538460	0.523586	0.521709	
0.026775	0.692005	0.691838	51.570354	51.166664	0.522493	0.523105	
0.026180	0.691927	0.691681	51.952412	51.987179	0.523404	0.525800	
0.025580	0.692131	0.692747	51.696739	50.884613	0.521696	0.524599	
0.024974	0.692104	0.692291	51.731602	51.179485	0.523237	0.523951	
0.024363	0.692010	0.692426	51.712719	51.410255	0.523827	0.525805	
0.023748	0.691655	0.691641	52.094776	52.153843	0.525763	0.525446	
0.023129	0.691869	0.691937	51.776634	50.923077	0.522665	0.523792	
0.022507	0.691712	0.692297	51.704002	51.717945	0.522809	0.526687	
0.021882	0.691438	0.691342	51.981464	51.999996	0.527109	0.528527	
0.021256	0.691758	0.691658	51.693832	51.858971	0.525034	0.528691	
0.020628	0.691510	0.691505	51.956768	51.858971	0.525811	0.531625	
0.020000	0.691316	0.691902	51.977108	51.461536	0.526574	0.530693	
0.019372	0.691616	0.690905	52.061363	52.320511	0.528165	0.534922	
0.018744	0.691594	0.690851	52.213894	52.410255	0.527648	0.535610	
0.018118	0.691393	0.691082	52.408554	51.628204	0.532404	0.535061	
0.017493	0.691494	0.691123	52.013424	52.115383	0.530517	0.534858	
0.016871	0.691331	0.691136	52.250214	52.243587	0.530325	0.535758	
0.016252	0.691497	0.690878	52.301056	52.641026	0.530328	0.539439	
0.015637	0.691215	0.690712	52.459400	52.743587	0.534450	0.541512	
0.015026	0.691107	0.691633	52.210991	52.051281	0.531370	0.539452	
0.014420	0.690815	0.691151	52.720882	52.628204	0.535700	0.544618	
0.013820	0.690752	0.690172	52.716522	53.038460	0.538198	0.544726	
0.013225	0.690541	0.691088	52.654057	53.076920	0.538767	0.542449	
0.012638	0.690333	0.689817	53.108749	52.756409	0.540721	0.542496	
0.012057	0.690115	0.690270	53.134899	52.782051	0.541710	0.546729	
0.011484	0.690630	0.691816	52.725239	52.448715	0.537352	0.551074	
0.010920	0.690104	0.688503	53.168308	53.589741	0.542205	0.554760	
0.010365	0.689604	0.688064	52.808044	53.999996	0.541397	0.555061	
0.009819	0.689291	0.688318	53.394928	53.884613	0.546810	0.554022	
0.009283	0.689835	0.689171	53.114559	53.371792	0.540777	0.557217	
0.008758	0.689081	0.688846	53.268543	53.679485	0.546173	0.565385	
0.008244	0.689182	0.688500	53.240944	53.730766	0.546510	0.559190	
0.007742	0.688987	0.687113	53.496616	54.115383	0.549832	0.561957	
0.007252	0.688728	0.686671	53.474827	54.320511	0.550180	0.567273	
0.006774	0.689375	0.686177	53.265640	54.538460	0.547586	0.566382	
0.006309	0.688943	0.686936	53.522766	54.512817	0.548862	0.568514	
0.005858	0.688045	0.685194	53.763912	54.461536	0.552667	0.571994	
0.005421	0.687589	0.684777	53.816208	54.794868	0.554002	0.572025	
0.004998	0.688263	0.684565	53.612831	54.730766	0.549201	0.575385	
0.004590	0.687211	0.686689	54.031204	54.743587	0.556593	0.575997	
0.004197	0.687390	0.683580	54.214245	55.025639	0.555200	0.577300	
0.003820	0.686326	0.683301	54.358059	55.564102	0.562571	0.581645	
0.003458	0.685830	0.682307	54.713966	56.064102	0.564050	0.581932	
0.003113	0.685800	0.681749	54.436504	56.282051	0.563055	0.584870	
0.002785	0.685349	0.682887	54.838898	55.820511	0.565914	0.586385	
0.002474	0.686015	0.681893	54.411808	56.256409	0.560058	0.585539	
0.002180	0.685104	0.680057	54.806938	56.371792	0.567516	0.590839	
0.001903	0.684242	0.681025	54.936230	56.243587	0.568286	0.592682	
0.001645	0.684207	0.678800	54.878120	56.705128	0.569650	0.594417	
0.001404	0.684332	0.678592	55.029202	56.756409	0.569939	0.597247	
